n_agents,success_rate,collision_rate,total_step,avg_step,episode_length,max_goals,total_step_std,avg_step_std,episode_length_std,max_goals_std
4,1.0,0.0,45.5,11.375,18.0,4.0,3.5,0.875,2.0,0.0
8,1.0,0.0,110.0,13.75,20.5,8.0,3.0,0.375,0.5,0.0
