n_agents,success_rate,collision_rate,total_step,avg_step,max_step,episode_length,max_goals,collision_rate_std,total_step_std,avg_step_std,max_step_std,episode_length_std,max_goals_std,collision_rate_min,total_step_min,avg_step_min,max_step_min,episode_length_min,max_goals_min,collision_rate_max,total_step_max,avg_step_max,max_step_max,episode_length_max,max_goals_max
4,1.0,0.0,49.555,12.38875,17.66,17.855,4.0,0.0,10.978477808876784,2.744619452219196,3.348790826552175,3.375496259811289,0.0,0.0,49.555,12.38875,17.66,17.855,4.0,0.0,49.555,12.38875,17.66,17.855,4.0
8,1.0,0.052676239952712596,102.735,12.841875,19.97,20.525,8.0,0.24598592344731393,16.587789937179696,2.073473742147462,3.0592646175183997,3.166918849607612,0.0,0.052676239952712596,102.735,12.841875,19.97,20.525,8.0,0.052676239952712596,102.735,12.841875,19.97,20.525,8.0
12,1.0,0.11376587891294232,164.9,13.741666666666665,22.625,23.5,12.0,0.35781193398915295,23.167218218853986,1.930601518237832,3.296115137552085,3.7563279941985894,0.0,0.11376587891294232,164.9,13.741666666666665,22.625,23.5,12.0,0.11376587891294232,164.9,13.741666666666665,22.625,23.5,12.0
16,1.0,0.3233702525280712,231.085,14.4428125,25.275,26.55,16.0,0.6353724811604279,35.44527859955399,2.215329912472124,4.558439974377199,5.292211258065952,0.0,0.3233702525280712,231.085,14.4428125,25.275,26.55,16.0,0.3233702525280712,231.085,14.4428125,25.275,26.55,16.0
20,1.0,0.5277867913774438,304.6,15.23,28.165,29.755,20.0,0.7441021852453827,46.74665763453041,2.33733288172652,5.78426961681421,6.639651722793899,0.0,0.5277867913774438,304.6,15.23,28.165,29.755,20.0,0.5277867913774438,304.6,15.23,28.165,29.755,20.0
22,1.0,0.5826460260383796,338.31,15.37772727272727,28.63,30.575,22.0,0.6898339399497375,47.535711838574585,2.160714174480663,5.4160040620368815,6.159088812478677,0.0,0.5826460260383796,338.31,15.37772727272727,28.63,30.575,22.0,0.5826460260383796,338.31,15.37772727272727,28.63,30.575,22.0
