n_agents,success_rate,time,time_std,time_min,time_max,episode_length,episode_length_std,episode_length_min,episode_length_max,total_step,total_step_std,total_step_min,total_step_max,avg_step,avg_step_std,avg_step_min,avg_step_max,max_step,max_step_std,max_step_min,max_step_max,min_step,min_step_std,min_step_min,min_step_max,total_costs,total_costs_std,total_costs_min,total_costs_max,avg_costs,avg_costs_std,avg_costs_min,avg_costs_max,max_costs,max_costs_std,max_costs_min,max_costs_max,min_costs,min_costs_std,min_costs_min,min_costs_max,agent_collision_rate,agent_collision_rate_std,agent_collision_rate_min,agent_collision_rate_max,obstacle_collision_rate,obstacle_collision_rate_std,obstacle_collision_rate_min,obstacle_collision_rate_max,total_collision_rate,total_collision_rate_std,total_collision_rate_min,total_collision_rate_max
4,100.0,0.2995865154266357,0.08887887711167984,0.1359543800354004,0.7544457912445068,17.755,3.0536822035044837,9,25,50.02,10.47614432890269,18,81,12.505,2.6190360822256724,4.5,20.25,17.635,3.0367375586309726,9.0,25.0,7.02,3.6985943275790603,1.0,17.0,50.8,10.83512805646523,17.0,82.0,12.7,2.7087820141163075,4.25,20.5,17.755,3.0536822035044837,9.0,25.0,7.205,3.838355767773488,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,100.0,0.46177207946777343,0.12132012256319859,0.25992918014526367,0.9238061904907227,20.67,2.7696750711951754,14,30,101.335,15.711230855665,54,139,12.666875,1.963903856958125,6.75,17.375,20.23,2.5820728107472104,14.0,29.0,4.705,2.7235959685680253,1.0,14.0,105.72,17.228801467310486,53.0,144.0,13.215,2.1536001834138108,6.625,18.0,20.67,2.7696750711951754,14.0,30.0,4.895,3.1391041715750685,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,100.0,0.7362581396102905,0.22868968750515142,0.38822102546691895,2.1542482376098633,23.795,3.787212035257598,16,39,167.46,24.635713912935422,97,282,13.955,2.052976159411285,8.083333333333334,23.5,22.87,3.3351311818277853,16.0,36.0,4.485,2.6076378199435593,1.0,15.0,179.29,28.931399896997725,99.0,327.0,14.940833333333336,2.410949991416477,8.25,27.25,23.795,3.787212035257598,16.0,39.0,4.705,3.0113078554010384,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,100.0,1.158863605260849,0.515406061560466,0.550966739654541,5.1846747398376465,25.735,4.369756858224493,18,51,228.56,30.630481550246643,157,334,14.285,1.9144050968904152,9.8125,20.875,24.465,3.8818520064525903,17.0,50.0,3.755,2.212459039168861,1.0,11.0,247.68,36.53748212452522,161.0,414.0,15.48,2.283592632782826,10.0625,25.875,25.735,4.369756858224493,18.0,51.0,3.88,2.6392423155140565,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,100.0,1.7506233906745912,0.5801429341138366,0.7949032783508301,4.709370374679565,28.655,4.7440462687457,20,50,304.49,39.340690131211474,208,486,15.224499999999999,1.9670345065605737,10.4,24.3,27.04,4.231831754689687,19.0,47.0,3.665,1.9805996566696662,1.0,11.0,334.64,47.96321924141456,224.0,552.0,16.732,2.3981609620707283,11.2,27.6,28.655,4.7440462687457,20.0,50.0,3.89,2.459247852494742,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,100.0,2.093771805763245,0.7925103492210143,0.9563143253326416,5.99023175239563,30.34,5.937541578801786,20,56,341.635,41.80193506286521,252,472,15.528863636363635,1.900087957402964,11.454545454545455,21.454545454545453,28.43,5.126899647935388,20.0,52.0,3.285,1.8313314828288187,1.0,10.0,379.16,53.62326360825122,271.0,552.0,17.234545454545454,2.4374210731023287,12.318181818181818,25.09090909090909,30.34,5.937541578801786,20.0,56.0,3.6,2.7331300737432898,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
