n_agents,success_rate,time,time_std,time_min,time_max,episode_length,episode_length_std,episode_length_min,episode_length_max,total_step,total_step_std,total_step_min,total_step_max,avg_step,avg_step_std,avg_step_min,avg_step_max,max_step,max_step_std,max_step_min,max_step_max,min_step,min_step_std,min_step_min,min_step_max,total_costs,total_costs_std,total_costs_min,total_costs_max,avg_costs,avg_costs_std,avg_costs_min,avg_costs_max,max_costs,max_costs_std,max_costs_min,max_costs_max,min_costs,min_costs_std,min_costs_min,min_costs_max,agent_collision_rate,agent_collision_rate_std,agent_collision_rate_min,agent_collision_rate_max,obstacle_collision_rate,obstacle_collision_rate_std,obstacle_collision_rate_min,obstacle_collision_rate_max,total_collision_rate,total_collision_rate_std,total_collision_rate_min,total_collision_rate_max
4,100.0,0.8948379373550415,0.19195561674118947,0.47416019439697266,1.5246667861938477,51.05,13.326571201925873,20,90,139.74,33.01775885792372,48,241,34.935,8.25443971448093,12.0,60.25,51.005,13.327601997358714,20.0,90.0,20.21,8.536152529096466,1.0,47.0,140.34,33.56597086336101,48.0,258.0,35.085,8.391492715840252,12.0,64.5,51.05,13.326571201925873,20.0,90.0,20.33,8.779584272617925,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,100.0,1.2802640545368194,0.1863218641794531,0.8964240550994873,2.010925054550171,59.38,10.610636173199042,37,94,282.77,44.66639788476344,162,434,35.34625,5.58329973559543,20.25,54.25,59.255,10.599998820754651,37.0,94.0,14.99,6.982112860732058,1.0,35.0,286.155,45.11309094930207,162.0,436.0,35.769375,5.639136368662759,20.25,54.5,59.38,10.610636173199042,37.0,94.0,15.21,7.113782397571632,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,100.0,1.9909829890727997,0.25070616385174366,1.5447783470153809,3.716346263885498,65.09,9.310848511279731,42,93,565.24,61.19430038818975,418,777,35.3275,3.8246437742618595,26.125,48.5625,64.995,9.299729834785525,42.0,92.0,11.45,5.748695504199191,1.0,28.0,575.635,64.39496700053508,451.0,819.0,35.9771875,4.024685437533442,28.1875,51.1875,65.09,9.310848511279731,42.0,93.0,11.58,5.907926878355893,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,100.0,3.928962116241455,0.47228259316919646,3.0848236083984375,6.256089448928833,70.85,7.25241339141668,51,88,1166.08,86.70792120677326,943,1414,36.44,2.7096225377116645,29.46875,44.1875,70.66,7.189186323917332,51.0,88.0,8.01,5.2735092680301605,1.0,20.0,1216.2,94.99931578700975,960.0,1451.0,38.00625,2.9687286183440547,30.0,45.34375,70.85,7.25241339141668,51.0,88.0,8.84,5.8765976551062264,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,100.0,10.918567073345184,1.2249998249583915,8.230646848678589,14.587383508682251,78.425,7.36575691969264,63,95,2412.835,137.33767791469316,2116,2828,37.700546875,2.1459012174170806,33.0625,44.1875,77.86,7.18473381552859,63.0,95.0,5.795,4.066076118323414,1.0,17.0,2620.335,168.11309519189751,2289.0,3136.0,40.942734375,2.6267671123733987,35.765625,49.0,78.425,7.36575691969264,63.0,95.0,7.235,5.287700350814142,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,98.5,66.01160031042728,10.15483429616684,45.503405809402466,117.59464168548584,95.23350253807106,14.460037506401628,77,202,5321.746192893401,257.03673827009885,4605,5983,41.576142131979694,2.0080995177351473,35.9765625,46.7421875,92.1015228426396,11.311458083526038,76.0,176.0,4.751269035532995,2.922703170186958,1.0,15.0,6287.015228426396,356.6580280978878,5420.0,7342.0,49.11730647208122,2.7863908445147483,42.34375,57.359375,95.23350253807106,14.460037506401628,77.0,202.0,7.284263959390863,4.821736537801512,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
